Ref,Val,Package,PosX,PosY,Rot,Side
"LED53","SPMWHD32AMH5XAU5SL","SPMWHD32AMH5XAU5SL",373.100000,9.650000,90.000000,top
"LED54","SPMWHD32AMH5XAU5SL","SPMWHD32AMH5XAU5SL",373.100000,17.600000,90.000000,top
"LED55","SPMWHD32AMH5XAU5SL","SPMWHD32AMH5XAU5SL",533.100000,9.600000,90.000000,top
"LED56","SPMWHD32AMH5XAU5SL","SPMWHD32AMH5XAU5SL",533.100000,17.600000,90.000000,top
"LED57","SPMWHD32AMH5XAU5SL","SPMWHD32AMH5XAU5SL",692.900000,9.700000,90.000000,top
"LED58","SPMWHD32AMH5XAU5SL","SPMWHD32AMH5XAU5SL",692.900000,17.700000,90.000000,top
"LED59","SPMWHD32AMH5XAU5SL","SPMWHD32AMH5XAU5SL",852.550000,9.775000,90.000000,top
"LED60","SPMWHD32AMH5XAU5SL","SPMWHD32AMH5XAU5SL",852.550000,17.775000,90.000000,top
"LED61","L1SP-DRD0002800000","L1SP-DRD0002800000",61.900000,9.600000,0.000000,top
"LED62","L1SP-DRD0002800000","L1SP-DRD0002800000",61.900000,17.600000,0.000000,top
"LED63","L1SP-DRD0002800000","L1SP-DRD0002800000",221.600000,9.600000,0.000000,top
"LED64","L1SP-DRD0002800000","L1SP-DRD0002800000",221.600000,17.600000,0.000000,top
"LED65","L1SP-DRD0002800000","L1SP-DRD0002800000",381.600000,9.650000,0.000000,top
"LED66","L1SP-DRD0002800000","L1SP-DRD0002800000",381.600000,17.600000,0.000000,top
"LED67","L1SP-DRD0002800000","L1SP-DRD0002800000",541.600000,9.600000,0.000000,top
"LED68","L1SP-DRD0002800000","L1SP-DRD0002800000",541.600000,17.600000,0.000000,top
"LED69","L1SP-DRD0002800000","L1SP-DRD0002800000",701.400000,9.700000,0.000000,top
"LED70","L1SP-DRD0002800000","L1SP-DRD0002800000",701.400000,17.700000,0.000000,top
"LED71","L1SP-DRD0002800000","L1SP-DRD0002800000",861.050000,9.775000,0.000000,top
"LED72","L1SP-DRD0002800000","L1SP-DRD0002800000",861.050000,17.775000,0.000000,top
"LED73","SPMWHD32AMH5XAU5SL","SPMWHD32AMH5XAU5SL",70.400000,9.600000,90.000000,top
"LED74","SPMWHD32AMH5XAU5SL","SPMWHD32AMH5XAU5SL",70.400000,17.600000,90.000000,top
"LED75","SPMWHD32AMH5XAU5SL","SPMWHD32AMH5XAU5SL",230.100000,9.600000,90.000000,top
"LED76","SPMWHD32AMH5XAU5SL","SPMWHD32AMH5XAU5SL",230.100000,17.600000,90.000000,top
"LED77","SPMWHD32AMH5XAU5SL","SPMWHD32AMH5XAU5SL",390.100000,9.650000,90.000000,top
"LED78","SPMWHD32AMH5XAU5SL","SPMWHD32AMH5XAU5SL",390.100000,17.600000,90.000000,top
"LED79","SPMWHD32AMH5XAU5SL","SPMWHD32AMH5XAU5SL",550.100000,9.600000,90.000000,top
"LED80","SPMWHD32AMH5XAU5SL","SPMWHD32AMH5XAU5SL",550.100000,17.600000,90.000000,top
"LED81","SPMWHD32AMH5XAU5SL","SPMWHD32AMH5XAU5SL",709.900000,9.700000,90.000000,top
"LED82","SPMWHD32AMH5XAU5SL","SPMWHD32AMH5XAU5SL",709.900000,17.700000,90.000000,top
"LED83","SPMWHD32AMH5XAU5SL","SPMWHD32AMH5XAU5SL",869.550000,9.775000,90.000000,top
"LED84","SPMWHD32AMH5XAU5SL","SPMWHD32AMH5XAU5SL",869.550000,17.775000,90.000000,top
"LED85","SPMWHD32AMH5XAU5SL","SPMWHD32AMH5XAU5SL",78.900000,9.600000,90.000000,top
"LED86","SPMWHD32AMH5XAU5SL","SPMWHD32AMH5XAU5SL",78.900000,17.600000,90.000000,top
"LED87","SPMWHD32AMH5XAU5SL","SPMWHD32AMH5XAU5SL",238.600000,9.600000,90.000000,top
"LED88","SPMWHD32AMH5XAU5SL","SPMWHD32AMH5XAU5SL",238.600000,17.600000,90.000000,top
"LED89","SPMWHD32AMH5XAU5SL","SPMWHD32AMH5XAU5SL",398.600000,9.650000,90.000000,top
"LED90","SPMWHD32AMH5XAU5SL","SPMWHD32AMH5XAU5SL",398.600000,17.600000,90.000000,top
"LED91","SPMWHD32AMH5XAU5SL","SPMWHD32AMH5XAU5SL",558.600000,9.600000,90.000000,top
"LED92","SPMWHD32AMH5XAU5SL","SPMWHD32AMH5XAU5SL",558.600000,17.600000,90.000000,top
"LED93","SPMWHD32AMH5XAU5SL","SPMWHD32AMH5XAU5SL",718.400000,9.700000,90.000000,top
"LED94","SPMWHD32AMH5XAU5SL","SPMWHD32AMH5XAU5SL",718.400000,17.700000,90.000000,top
"LED95","SPMWHD32AMH5XAU5SL","SPMWHD32AMH5XAU5SL",878.050000,9.775000,90.000000,top
"LED96","SPMWHD32AMH5XAU5SL","SPMWHD32AMH5XAU5SL",878.050000,17.775000,90.000000,top
"LED97","SPMWHD32AMH5XAU5SL","SPMWHD32AMH5XAU5SL",87.400000,9.600000,90.000000,top
"LED98","SPMWHD32AMH5XAU5SL","SPMWHD32AMH5XAU5SL",87.400000,17.600000,90.000000,top
"LED99","SPMWHD32AMH5XAU5SL","SPMWHD32AMH5XAU5SL",247.100000,9.600000,90.000000,top
"LED100","SPMWHD32AMH5XAU5SL","SPMWHD32AMH5XAU5SL",247.100000,17.600000,90.000000,top
"LED101","SPMWHD32AMH5XAU5SL","SPMWHD32AMH5XAU5SL",407.100000,9.650000,90.000000,top
"LED102","SPMWHD32AMH5XAU5SL","SPMWHD32AMH5XAU5SL",407.100000,17.600000,90.000000,top
"LED103","SPMWHD32AMH5XAU5SL","SPMWHD32AMH5XAU5SL",567.100000,9.600000,90.000000,top
"LED104","SPMWHD32AMH5XAU5SL","SPMWHD32AMH5XAU5SL",567.100000,17.600000,90.000000,top
"LED105","SPMWHD32AMH5XAU5SL","SPMWHD32AMH5XAU5SL",726.900000,9.700000,90.000000,top
"LED106","SPMWHD32AMH5XAU5SL","SPMWHD32AMH5XAU5SL",726.900000,17.700000,90.000000,top
"LED107","SPMWHD32AMH5XAU5SL","SPMWHD32AMH5XAU5SL",886.550000,9.775000,90.000000,top
"LED108","SPMWHD32AMH5XAU5SL","SPMWHD32AMH5XAU5SL",886.550000,17.775000,90.000000,top
"LED109","SPMWHD32AMH5XAU5SL","SPMWHD32AMH5XAU5SL",95.900000,9.600000,90.000000,top
"LED110","SPMWHD32AMH5XAU5SL","SPMWHD32AMH5XAU5SL",95.900000,17.600000,90.000000,top
"LED111","SPMWHD32AMH5XAU5SL","SPMWHD32AMH5XAU5SL",255.600000,9.600000,90.000000,top
"LED112","SPMWHD32AMH5XAU5SL","SPMWHD32AMH5XAU5SL",255.600000,17.600000,90.000000,top
"LED113","SPMWHD32AMH5XAU5SL","SPMWHD32AMH5XAU5SL",415.600000,9.650000,90.000000,top
"LED114","SPMWHD32AMH5XAU5SL","SPMWHD32AMH5XAU5SL",415.600000,17.600000,90.000000,top
"LED115","SPMWHD32AMH5XAU5SL","SPMWHD32AMH5XAU5SL",575.600000,9.600000,90.000000,top
"LED116","SPMWHD32AMH5XAU5SL","SPMWHD32AMH5XAU5SL",575.600000,17.600000,90.000000,top
"LED117","SPMWHD32AMH5XAU5SL","SPMWHD32AMH5XAU5SL",735.400000,9.700000,90.000000,top
"LED118","SPMWHD32AMH5XAU5SL","SPMWHD32AMH5XAU5SL",735.400000,17.700000,90.000000,top
"LED119","SPMWHD32AMH5XAU5SL","SPMWHD32AMH5XAU5SL",895.050000,9.775000,90.000000,top
